Country code,GDP 60,GDP 65,GDP 70,GDP 75,GDP 80,GDP 85,Worker 60,Worker 65,Worker 70,Worker 75,Worker 80,Worker 85,Life expectation 60,Life expectation 65,Life expectation 70,Life expectation 75,Life expectation 80,Life expectation 85,Expenses on education 60-65,Expenses on education 65-70,Expenses on education 70-75,Expenses on education 75-80,Expenses on education 80-85,Expenses on defense 60-65,Expenses on defense 65-70,Expenses on defense 70-75,Expenses on defense 75-80,Expenses on defense 80-85,Average school years 60,Average school years 65,Average school years 70,Average school years 75,Average school years 80,Average school years 85,Political Instability 60-65,Political Instability 65-70,Political Instability 70-75,Political Instability 75-80,Political Instability 80-85,Civil Liberties 70-75,Civil Liberties 75-80,Civil Liberties 80-85,Civil Liberties 85-90,Political rights 70-75,Political rights 75-80,Political rights 80-85,Political rights 85-90,Population 60,Population 65,Population 70,Population 75,Population 80,Population 85,Export 60-65,Export 65-70,Export 70-75,Export 75-80,Export 80-85,Import 60-65,Import 65-70,Import 70-75,Import 75-80,Import 80-85
74,991,1072,1189,1388,1979,1996,0.3205,0.3178,0.3156,0.3288,0.333,0.3312,63.9,64.7,65.3,65.8,66.3,66.7,0.0145,0.0197,0.0198,0.0149,0.0182,0.017,0.019,0.017,0.015,0.016,3.352,3.544,3.738,4.248,4.627,4.704,0.2495,0,0,0,0,4.666667,5,5,5,5.333333,5.4,5,5.2,1774,2051,2351,2682,3147,3693,0.0668,0.0649,0.0739,0.1048,0.0979,0.0787,0.0804,0.0795,0.1323,0.1618
75,1721,2100,2285,2515,2456,2114,0.3199,0.3036,0.293,0.3006,0.3107,0.3201,48,50.6,53.9,56.4,58,60.3,0.0259,0.039,0.0348,0.0283,0.0275,0.027,0.03,0.036,0.041,0.068,3,3.283,3.75,4.363,5.442,5.786,0.1,0.1,0,0.2,1,6.666667,5.6,2,2,5.666667,4,3,3.2,9931,11467,13193,15161,17295,19417,0.0872,0.0865,0.0764,0.0791,0.0815,0.0938,0.0994,0.0866,0.0997,0.0907
76,1558,1858,2365,2852,3760,3522,0.2793,0.2697,0.2661,0.2788,0.2921,0.294,    ,    ,    ,    ,    ,    ,0.0578,     ,     ,0.0545,0.0774,     ,     ,0,0,0.024,    ,    ,    ,    ,    ,    ,    ,     ,    ,0,0,2,2,7,4.4,2,2,5.6,4.2,290,332,372,364,352,383,0.2791,0.3125,0.339,0.3899,0.3253,0.354,0.3224,0.3141,0.4089,0.3909
77,3271,3155,3453,3657,4502,3462,0.4054,0.397,0.3957,0.3967,0.3932,0.3983,67.3,68.1,68.8,69.3,70.1,70.8,0.0261,0.0283,0.0366,0.0197,0.0229,0.014,0.017,0.022,0.022,0.033,4.277,4.574,4.786,5.686,5.8,6.454,0,0.0362,0.142,0,0,4.333333,5.8,5,1.8,4.666667,5.8,4.4,2,2538,2693,2808,2829,2914,3008,0.0557,0.057,0.0631,0.0875,0.101,0.0624,0.045,0.0673,0.1023,0.1144
78,5308,6509,6608,4908,4424,3548,0.3182,0.3014,0.29,0.308,0.3293,0.339,59.8,62.7,65.2,67.1,68.5,69.6,0.023,0.032,0.0418,0.0451,0.0531,0.019,0.02,0.018,0.019,0.03,2.53,2.636,2.925,3.77,4.93,5.368,0.7259,0.1,0,0.0076,0,2,1.2,1,1,2,2,2,2.2,7502,8970,10604,12665,15024,17317,0.3178,0.2245,0.2131,0.1882,0.1997,0.1583,0.1467,0.1437,0.2021,0.1565
79,671,669,664,688,596,    ,0.3343,0.3342,0.3309,0.3167,0.3008,0.274,    ,    ,    ,    ,    ,    ,     ,     ,     ,     ,      ,     ,     ,     ,     ,     ,0.979,0.819,0.725,0.727,0.836,1.06,0,0,0.1,0.31965,    ,6,7,7,6.8,5.666667,6.4,7,6.8,10775,12071,13623,15378,16063,14519,    ,     ,    ,     ,     ,    ,     ,     ,     ,
80,   ,    ,    ,8402,9185,8192,     ,     ,     ,0.3385,0.4006,0.434,    ,    ,    ,    ,    ,    ,     ,     ,     ,0.027,0.0267,     ,     ,     ,     ,     ,1.284,1.359,1.735,2.253,3.969,4.419,    ,     ,0,0,    ,4.666667,6,5,5,4.333333,4,4.8,5,156,191,220,272,347,429,    ,     ,    ,     ,     ,    ,     ,     ,     ,
81,444,470,458,501,540,647,0.3392,0.3223,0.3076,0.2964,0.2872,0.2868,43.6,44.5,44.9,46,47.9,49.9,0.0063,0.0127,0.0182,0.0133,0.0163,0.003,0.003,0.006,0.012,0.014,0.794,0.948,0.845,1.021,1.681,1.974,    ,     ,0.002235,0.301305,1,3.333333,5.4,4.6,4.2,4,3.8,4.4,4.8,51419,58312,66671,76582,88219,101147,0.041,0.0406,0.0232,0.0143,0.0144,0.044,0.0511,0.0407,0.0397,0.0455
82,306,399,398,397,483,557,0.459,0.4546,0.4476,0.4494,0.4526,0.452,    ,    ,    ,    ,    ,    ,     ,     ,     ,     ,      ,0.062,0.059,0.053,0.036,0.035,1.01,0.995,1.123,0.985,1.464,2.019,0.1,0,0.2,0.4,1,7,6.6,7,7,5,6,6.4,6.8,21746,24167,27102,30441,33821,37544,    ,     ,    ,     ,     ,    ,     ,     ,     ,
84,1737,2704,3555,4512,7268,9093,0.3894,0.3903,0.4173,0.468,0.5023,0.5253,66,67.7,70,71.6,74.1,75.8,0.0194,0.0227,0.0245,0.0249,0.0276,0.004,0.006,0.005,0.005,0.008,5.189,4.904,5.166,5.617,6.734,7.511,0,0,0,0,0,     ,    ,    ,    ,    ,    ,    ,    ,3075,3692,3942,4396,5039,5456,0.4245,0.4683,0.5958,0.689,0.6535,0.498,0.4796,0.5819,0.6831,0.6724
85,533,538,576,592,614,750,0.4426,0.4259,0.4088,0.3973,0.386,0.3833,42.5,45.2,47.5,50.4,53.7,56.7,0.0243,0.025,0.0244,0.0305,0.0301,0.028,0.032,0.032,0.034,0.033,1.427,1.629,1.899,2.405,2.715,3.046,0.00046,0.200775,0.100366,0.000475,1,2,2,2,2,3,3.2,3,3,442344,495156,554911,620701,688856,769183,0.0201,0.0178,0.0188,0.0294,0.0281,0.0341,0.0289,0.0222,0.0317,0.041
86,493,463,490,706,931,1209,     ,0.3902,0.3883,0.3822,0.3793,0.3853,41.5,44.1,47.4,51.2,54.7,58.5,0.025,     ,0.0242,0.0199,0.0181,0.042,0.024,0.029,0.036,0.038,1.107,1.598,2.285,2.631,3.086,3.75,0.101675,0.400885,0,0.1,1,5,5,5,5,5,5,5.2,5.6,96194,107041,120280,135666,150958,167332,0.0298,0.0272,0.0682,0.1162,0.1077,0.0297,0.0406,0.0608,0.0989,0.0897
87,1839,2216,2816,4555,2944,3922,0.2942,0.2889,0.2854,0.2841,0.2855,0.2831,46,50,55.9,58.5,60.6,    ,0.0261,0.0263,0.0307,0.0552,0.0467,0.04,0.06,0.102,0.124,0.058,0.452,0.843,1.216,1.881,2.323,3.281,0.1,0.004155,0.01015,0.32485,1,5,5.8,5.6,5.2,6,5.6,5.8,5.8,20301,24078,28397,33344,38635,44632,    ,     ,    ,     ,     ,    ,     ,     ,     ,
88,2527,3173,3317,3909,4408,2813,0.2671,0.2621,0.2553,0.2643,0.2689,0.2698,46,51.6,53,61.4,62.4,63,0.0512,0.0473,0.0458,0.0357,0.0268,0.074,0.093,0.127,0.096,0.255,0.214,0.399,1.126,1.839,2.456,3.039,0.7,0.4,0.3207,0.30815,1,7,6.8,6.8,7,7,6.8,7,6.8,6847,7976,9356,11020,13291,15898,    ,     ,    ,     ,     ,    ,     ,     ,     ,
89,2838,3771,4861,6120,6145,6270,0.359,0.3555,0.3679,0.364,0.3729,0.3803,71.7,72.2,71.2,72.1,72.8,75,     ,0.0685,0.0683,0.073,0.0792,0.064,0.161,0.329,0.28,0.265,6.842,7.098,7.622,8.15,9.135,9.41,0,0,0.03175,0,1,2,2,2,2,3,2.6,2,2,2114,2563,2974,3455,3878,4233,0.1549,0.1814,0.2132,0.2898,0.2822,0.2861,0.2875,0.3642,0.4316,0.373
90,2239,3391,5496,6518,8117,9447,0.4752,0.4935,0.5104,0.4926,0.4889,0.495,67.7,70.3,71.9,74.3,76,77.3,0.0413,0.0406,0.0448,0.0559,0.0559,0.01,0.009,0.008,0.009,0.009,6.71,6.882,6.8,7.291,8.166,8.458,0.00422,0,0.000945,0.000885,0,2,2,1,1,1,1,1,1,94096,98881,104331,111524,116807,120837,0.057,0.0711,0.1032,0.1505,0.172,0.0609,0.0645,0.0958,0.1429,0.1614
91,1124,1577,1421,1410,1885,2113,0.259,0.2578,0.2536,0.2359,0.2207,0.2279,47.2,50.3,54.6,59.3,62.7,65,0.039,0.034,0.0474,0.053,0.0667,0.166,0.166,0.169,0.17,0.136,1.396,1.745,1.607,2.759,2.933,4.308,0.059,0.1,0.5715,0,1,6,6,5.8,5.2,6,6,5.8,5,1695,1962,2299,2600,2923,3407,    ,     ,0.073,0.2172,0.2566,    ,     ,0.2227,0.5156,0.5523
92,690,797,1189,1829,2369,3056,0.3381,0.3438,0.3573,0.3674,0.3863,0.4089,54.2,56.7,59.9,63.9,66.8,68.7,0.0436,0.029,0.0414,0.0264,0.0423,0.051,0.04,0.041,0.056,0.057,3.231,4.426,5.583,5.929,6.849,7.85,0.10404,0.1,0.20289,0.302665,0,5,4.8,5,3.2,6,5.2,5.8,4,25003,28530,31923,35281,38124,40806,0.0206,0.0424,0.0903,0.1726,0.2269,0.0618,0.0807,0.1229,0.1955,0.2475
